Time,LAT
0.372,28.63
0.373,32.62
0.374,30.62
0.375,22.63
0.376,7.626
0.377,1.626
0.378,-5.384
0.379,-13.37
0.380,-17.37
0.381,-30.38
0.382,-36.36
0.383,-32.37
0.384,-27.38
0.385,-12.38
0.386,12.62
0.387,32.62
0.388,39.63
0.389,39.63
0.390,42.63
0.391,35.64
0.392,28.63
0.393,17.64
0.394,5.621
0.395,-2.384
0.396,-19.39
0.397,-26.38
0.398,-26.38
0.399,-31.37
0.400,-42.38
0.401,-51.38
0.402,-35.37
0.403,-13.37
0.404,-2.384
0.405,10.63
0.406,19.63
0.407,30.62
0.408,40.63
0.409,39.63
0.410,32.62
0.411,16.61
0.412,-0.3632
0.413,-14.37
0.414,-27.38
0.415,-34.37
0.416,-32.37
0.417,-23.38
0.418,-22.39
0.419,-19.39
0.420,-23.38
0.421,-14.37
0.422,3.632
0.423,22.63
0.424,47.62
0.425,44.62
0.426,35.64
0.427,21.63
0.428,19.63
0.429,12.62
0.430,4.626
0.431,-1.389
0.432,-2.384
0.433,-0.3632
0.434,-3.379
0.435,-1.389
0.436,-0.3632
0.437,-4.389
0.438,-5.384
0.439,-4.389
0.440,-4.389
0.441,-8.384
0.442,-19.39
0.443,-20.38
0.444,-23.38
0.445,-24.38
0.446,-24.38
0.447,-16.37
0.448,-13.37
0.449,-13.37
0.450,-17.37
0.451,-11.38
0.452,-3.379
0.453,10.63
0.454,12.62
0.455,20.62
0.456,34.61
0.457,30.62
0.458,29.62
0.459,28.63
0.460,22.63
0.461,15.62
0.462,10.63
0.463,12.62
0.464,4.626
0.465,-2.384
0.466,-7.374
0.467,-9.379
0.468,-12.38
0.469,-23.38
0.470,-37.39
0.471,-46.37
0.472,-42.38
0.473,-35.37
0.474,-28.37
0.475,-7.374
0.476,1.626
0.477,8.621
0.478,27.62
0.479,30.62
0.480,36.63
0.481,35.64
0.482,28.63
0.483,16.61
0.484,6.632
0.485,-2.384
0.486,-2.384
0.487,3.632
0.488,14.62
0.489,17.64
0.490,11.62
0.491,1.626
0.492,-0.3632
0.493,-0.3632
0.494,-10.37
0.495,-25.37
0.496,-32.37
0.497,-40.39
0.498,-48.38
0.499,-40.39
0.500,-34.37
0.501,-15.38
0.502,5.621
0.503,21.63
0.504,30.62
0.505,32.62
0.506,32.62
0.507,30.62
0.508,31.61
0.509,18.63
0.510,7.626
0.511,-3.379
0.512,-19.39
0.513,-30.38
0.514,-34.37
0.515,-36.36
0.516,-40.39
0.517,-32.37
0.518,-7.374
0.519,24.63
0.520,49.61
0.521,56.62
0.522,54.63
0.523,46.63
0.524,30.62
0.525,20.62
0.526,10.63
0.527,-1.389
0.528,-10.37
0.529,-16.37
0.530,-19.39
0.531,-25.37
0.532,-32.37
0.533,-35.37
0.534,-23.38
0.535,-17.37
0.536,-7.374
0.537,-12.38
0.538,-13.37
0.539,-12.38
0.540,-13.37
0.541,-18.36
0.542,-13.37
0.543,-13.37
0.544,-8.384
0.545,-5.384
0.546,-1.389
0.547,10.63
0.548,20.62
0.549,23.62
0.550,22.63
0.551,27.62
0.552,34.61
